transaction_id,parent,parent_type,child,child_type,rel_type,date
2403-38-01_tr_160,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,North Sea Ltd,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_161,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Office of Comptroller General,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_162,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Paranthan Chemicals Ltd,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_163,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Protection of Children-National Trust Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_164,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Public Service Mutual Provident Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_165,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Public Utilities Commission of Sri Lanka,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_166,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,"Pulse Crops, Grain Research and Production Authority",department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_167,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Regional Development Bank,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_168,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Sahasya Investment Ltd.,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_169,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Securities and Exchange Commission of Sri Lanka,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_170,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Sri Lanka Accounting and Auditing Standard Monitoring Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_171,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Sri Lanka Cement Corporation,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_172,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Sri Lanka Customs,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_173,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Sri Lanka Export Credit Insurance Corporation,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_174,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_175,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Sri Lanka Media Training Institute,department,AS_DEPARTMENT,2024-09-25
